timestamp,age,faculty,study_program,study_year,phone_brand,phone_model,phone_price,purchase_year,phone_age,replacement_plan,replacement_reason,disposal_plan,prev_phone_replacement_reason,prev_phone_disposal,additional_info
2025/11/04 6:17:15 pop. GMT +1,25,FRI UL,"Multimedija, interdisciplinarni magistrski program (Multimedia, interdisciplinary master’s program)",1. letnik (1st year),Apple,Apple iPhone 14,Ne vem / prejel_a sem ga kot darilo (I don’t know / received it as a gift),2023.0,2.0,Čez 2 leti (In 2 years),Slaba baterija (Poor battery performance),Podaril_a družinskemu članu / prijatelju (Give it to a family member/friend),"Poškodba (Damage - screen, water, etc.)",Podaril_a (Gave it away),Prejšnji telefon je odslužil svoje (5 let in je bil že slab za uporabo)
2025/11/04 6:18:18 pop. GMT +1,23,FMF UL,Interdisciplinarni magistrski študijski program RAČUNALNIŠTVO IN MATEMATIKA (Interdisciplinary Master’s Study Program COMPUTER SCIENCE AND MATHEMATICS),1. letnik podiplomski (1st year postgraduate),Cubot,X19,200–400 € (€200–400),2019.0,6.0,"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",Slaba baterija (Poor battery performance),Obdržal_a ga bom kot rezervni telefon (Keep it as a backup phone),To je moj prvi telefon,Ni obstajal,
2025/11/04 6:20:05 pop. GMT +1,24,FRI UL,"Računalništvo in informatika, magistrski program (Computer Science and Informatics, master’s program)",2. letnik podiplomski (2nd year postgraduate),Samsung,A54,200–400 € (€200–400),2023.0,2.0,"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",Počasno delovanje / zastarelost (Slow or outdated performance),Obdržal_a ga bom kot rezervni telefon (Keep it as a backup phone),Slaba baterija (Poor battery performance),Obdržal_a kot rezervni telefon (Kept it as a backup phone),
2025/11/04 6:20:31 pop. GMT +1,26,FRI UL,"Računalništvo in informatika, magistrski program (Computer Science and Informatics, master’s program)",2. letnik podiplomski (2nd year postgraduate),Apple,Iphone 14 pro,400–600 € (€400–600),2024.0,1.0,"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",Poškodbe (Damage),Prodal_a (Sell it),Želel_a sem novejši model (Wanted a newer model),Prodal_a (Sold it),
2025/11/04 6:24:44 pop. GMT +1,20,FE UL,"Elektrotehnika Uni (Electrical Engineering, University)",2. letnik (2nd year),Apple,iPhone 12 mini,Nad 800 € (Over €800),2020.0,5.0,V naslednjih 6 mesecih (In the next 6 months),Počasno delovanje / zastarelost (Slow or outdated performance),Obdržal_a ga bom kot rezervni telefon (Keep it as a backup phone),Želel_a sem novejši model (Wanted a newer model),Prodal_a (Sold it),
2025/11/04 6:25:17 pop. GMT +1,25,FRI UL,"Računalništvo in informatika, magistrski program (Computer Science and Informatics, master’s program)",3. letnik (3rd year),Google,Pixel 6a,400–600 € (€400–600),2022.0,3.0,"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",Slaba baterija (Poor battery performance),Obdržal_a ga bom kot rezervni telefon (Keep it as a backup phone),Želel_a sem novejši model (Wanted a newer model),Obdržal_a kot rezervni telefon (Kept it as a backup phone),
2025/11/04 6:32:23 pop. GMT +1,19,FE UL,"Elektrotehnika Uni (Electrical Engineering, University)",1. letnik (1st year),Apple,iPhone 15 PRO MAX,Nad 800 € (Over €800),2023.0,2.0,Čez 4 leta (In 4 years),Počasno delovanje / zastarelost (Slow or outdated performance),Podaril_a družinskemu članu / prijatelju (Give it to a family member/friend),"Slaba baterija, zelo počasen, premalo spomina, zastarel model, slaba kamera.",Zavrgel_a (Discarded it),Menjal baterijo 1x ali 2x in naprej uporabljal.
2025/11/04 6:33:25 pop. GMT +1,25,FRI UL,"Računalništvo in informatika, magistrski program (Computer Science and Informatics, master’s program)",2. letnik podiplomski (2nd year postgraduate),Apple,Iphone 12,600–800 € (€600–800),2020.0,5.0,Čez 3 leta (In 3 years),Slaba baterija (Poor battery performance),Obdržal_a ga bom kot rezervni telefon (Keep it as a backup phone),Slaba baterija (Poor battery performance),Obdržal_a kot rezervni telefon (Kept it as a backup phone),
2025/11/04 6:37:51 pop. GMT +1,25,FRI UL,"Računalništvo in informatika, magistrski program (Computer Science and Informatics, master’s program)",2. letnik podiplomski (2nd year postgraduate),Xiaomi,POCO X3 NFC,Do 200 € (Up to €200),2020.0,5.0,"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",Počasno delovanje / zastarelost (Slow or outdated performance),Prodal_a (Sell it),pokvaril se je zvočnik in sem ga potem čez čas popravil,Prodal_a (Sold it),
2025/11/04 6:40:04 pop. GMT +1,24,FRI UL,"Računalništvo in informatika, magistrski program (Computer Science and Informatics, master’s program)",2. letnik podiplomski (2nd year postgraduate),Samsung,s22+,Ne vem / prejel_a sem ga kot darilo (I don’t know / received it as a gift),2022.0,3.0,"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",Slaba baterija (Poor battery performance),Ne vem še (Not sure yet),Pokvaril se je (It broke down),ostal je v škatli,
2025/11/04 6:41:16 pop. GMT +1,24,FRI UL,,2. letnik podiplomski (2nd year postgraduate),Google,pixel 7,400–600 € (€400–600),2022.0,3.0,Čez 2 leti (In 2 years),Slaba baterija (Poor battery performance),Obdržal_a ga bom kot rezervni telefon (Keep it as a backup phone),"Poškodba (Damage - screen, water, etc.)",Zavrgel_a (Discarded it),
2025/11/04 6:45:55 pop. GMT +1,23,FERI UM,Računalništvo in informacijske tehnologije Mag (Computer and Information Technologies),2. letnik podiplomski (2nd year postgraduate),Samsung,A53,200–400 € (€200–400),2022.0,3.0,"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",Počasno delovanje / zastarelost (Slow or outdated performance),Obdržal_a ga bom kot rezervni telefon (Keep it as a backup phone),Želel_a sem novejši model (Wanted a newer model),Podaril_a (Gave it away),
2025/11/04 6:46:54 pop. GMT +1,22,FRI UL,"Podatkovne vede, smer magistrskega programa (Data Science, master’s program specialization)",2. letnik podiplomski (2nd year postgraduate),Samsung,S24,200–400 € (€200–400),2025.0,0.0,Čez 2 leti (In 2 years),Želim novejši model (I want a newer model),Podaril_a družinskemu članu / prijatelju (Give it to a family member/friend),Želel_a sem novejši model (Wanted a newer model),Prodal_a (Sold it),"Telefona ne vržem stran dokler deluje, ali ga podarim alj pa prodam, rad pa imam najnovejše modele"
2025/11/04 6:51:19 pop. GMT +1,26,FRI UL,"Računalništvo in informatika, magistrski program (Computer Science and Informatics, master’s program)",2. letnik podiplomski (2nd year postgraduate),Samsung,Galaxy A52,Ne vem / prejel_a sem ga kot darilo (I don’t know / received it as a gift),2024.0,1.0,"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",Počasno delovanje ali poškodba,V smeti,Pokvaril se je (It broke down),Zavrgel_a (Discarded it),
2025/11/04 6:56:59 pop. GMT +1,24,FERI UM,Računalništvo in informacijske tehnologije Mag (Computer and Information Technologies),2. letnik podiplomski (2nd year postgraduate),Samsung,S23 Ultra,400–600 € (€400–600),2025.0,0.0,"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",Poškodbe (Damage),Obdržal_a ga bom kot rezervni telefon (Keep it as a backup phone),Pokvaril se je (It broke down),Podaril_a (Gave it away),
2025/11/04 6:57:42 pop. GMT +1,24,FRI UL,"Podatkovne vede, smer magistrskega programa (Data Science, master’s program specialization)",1. letnik podiplomski (1st year postgraduate),Samsung,Galaxy A35,Do 200 € (Up to €200),2024.0,1.0,Čez 4 leta (In 4 years),Želim novejši model (I want a newer model),Podaril_a družinskemu članu / prijatelju (Give it to a family member/friend),"Poškodba (Damage - screen, water, etc.)",Oddal_a v reciklažo (Recycled it),"Telefon je bil kupljen pri operaterju in je bil deležen popusta, zato je cen nižja. Po potrebi pri telefonih zamenjam baterijo, polomljen zaslon itd če je to cenovno smotrno in so deli še dostopni. Prejšnjega sem moral menjati ker je bila škoda prevelika."
2025/11/04 6:59:32 pop. GMT +1,23,FRI UL,"Računalništvo in informatika, magistrski program (Computer Science and Informatics, master’s program)",1. letnik podiplomski (1st year postgraduate),Motorola,Motorola Edge 20,200–400 € (€200–400),2021.0,4.0,V naslednjem letu (In the next year),Slaba baterija (Poor battery performance),Obdržal_a ga bom kot rezervni telefon (Keep it as a backup phone),Počasno delovanje / zastarelost,Prodal_a (Sold it),"MA JS SEM MISLU DA JE TO ANKETA KOLK UR VRŽEMO STRAN NA FONU, CLICKBAIT TITLE, ANKETA NE VSEBUJE NOBENEGA VPRAŠANJA O UPORABI TELEFONA
Ampak vseeno vredu anketa :)"
2025/11/04 7:08:26 pop. GMT +1,19,FMF UL,Univerzitetni študijski program FIZIKA (University Study Program PHYSICS),1. letnik (1st year),Samsung,Samsung Galaxy s21 FE,200–400 € (€200–400),2023.0,2.0,"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",Počasno delovanje / zastarelost (Slow or outdated performance),Podaril_a družinskemu članu / prijatelju (Give it to a family member/friend),Pokvaril se je (It broke down),Prodal_a (Sold it),
2025/11/04 7:09:45 pop. GMT +1,22,FRI UL,"Računalništvo in informatika, magistrski program (Computer Science and Informatics, master’s program)",1. letnik podiplomski (1st year postgraduate),Samsung,S24 Ultra,Nad 800 € (Over €800),2024.0,1.0,"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",Počasno delovanje / zastarelost (Slow or outdated performance),Obdržal_a ga bom kot rezervni telefon (Keep it as a backup phone),Želel_a sem novejši model (Wanted a newer model),Obdržal_a kot rezervni telefon (Kept it as a backup phone),
2025/11/04 7:29:29 pop. GMT +1,19,FMF UL,Univerzitetni študijski program MATEMATIKA (University Study Program MATHEMATICS),1. letnik (1st year),Samsung,Samsung Galaxy S21 FE 5G,200–400 € (€200–400),2023.0,2.0,V naslednjem letu (In the next year),Počasno delovanje / zastarelost (Slow or outdated performance),Obdržal_a ga bom kot rezervni telefon (Keep it as a backup phone),Premalo prostora,Obdržal_a kot rezervni telefon (Kept it as a backup phone),
2025/11/04 7:45:44 pop. GMT +1,24,FERI UM,Računalništvo in informacijske tehnologije Mag (Computer and Information Technologies),2. letnik podiplomski (2nd year postgraduate),Google,pixel 9,600–800 € (€600–800),2025.0,0.0,"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",Poškodbe (Damage),Obdržal_a ga bom kot rezervni telefon (Keep it as a backup phone),Želel_a sem novejši model (Wanted a newer model),Obdržal_a kot rezervni telefon (Kept it as a backup phone),
2025/11/04 7:57:03 pop. GMT +1,24,FRI UL,"Računalništvo in informatika, magistrski program (Computer Science and Informatics, master’s program)",1. letnik podiplomski (1st year postgraduate),Oneplus,OnePlus 8T,400–600 € (€400–600),2021.0,4.0,"Nimam namena ga zamenjati, dokler deluje (I don’t plan to replace it as long as it works)",Slaba baterija (Poor battery performance),Obdržal_a ga bom kot rezervni telefon (Keep it as a backup phone),Slaba baterija (Poor battery performance),Obdržal_a kot rezervni telefon (Kept it as a backup phone),
