timestamp,age,faculty,study_program,study_year,phone_brand,phone_model,phone_price,purchase_year,phone_age,replacement_plan,replacement_reason,disposal_plan,prev_phone_replacement_reason,prev_phone_disposal,additional_info
2025/11/04 12:41:51 pop. GMT +1,19,Faculty of Mathematics and Physics,University Study Program PHYSICS,1st year,Samsung,Samsung galaxy note 10+,I don’t know / received it as a gift,2019.0,6.0,I don’t plan to replace it as long as it works,Slow or outdated performance,Not sure yet,Poor battery performance,Gave it away,Iskreno mi je uredu imeti isti telefon dokler je uporaben:)
2025/11/04 12:45:18 pop. GMT +1,22,Faculty of Computer and Information Science,"Computer Science and Mathematics, university interdisciplinary program",3rd year,Samsung,Galaxy A52 5G,€200–400,2021.0,4.0,In the next 6 months,Damage,Recycle / take to collection center,Wanted a newer model,I don’t know,
2025/11/04 12:45:24 pop. GMT +1,20,Faculty of Mathematics and Physics,University Study Program PHYSICS,1st year,Sony,Sony,Up to €200,2019.0,6.0,I don’t plan to replace it as long as it works,Slow or outdated performance,Keep it as a backup phone,"Damage - screen, water, etc.",Gave it away,
2025/11/04 1:00:15 pop. GMT +1,22,Faculty of Mathematics and Physics,University Study Program PHYSICS,2nd year,Apple,15 pro,Over €800,2023.0,2.0,I don’t plan to replace it as long as it works,Poor battery performance,Keep it as a backup phone,Poor battery performance,Kept it as a backup phone,
2025/11/04 1:01:20 pop. GMT +1,21,Faculty of Mathematics and Physics,,2nd year,Samsung,Samsung A35,I don’t know / received it as a gift,2024.0,1.0,I don’t plan to replace it as long as it works,Glej odgovor zgoraj,Keep it as a backup phone,Poor battery performance,Kept it as a backup phone,
2025/11/04 1:05:04 pop. GMT +1,22,Faculty of Mathematics and Physics,University Study Program MATHEMATICS,3rd year,Samsung,Galaxy S,€200–400,2021.0,4.0,In 3 years,Slow or outdated performance,Keep it as a backup phone,Poor battery performance,Kept it as a backup phone,
2025/11/04 1:09:43 pop. GMT +1,19,Faculty of Mathematics and Physics,University Study Program PHYSICS,1st year,Samsung,A05s,Up to €200,2023.0,2.0,I don’t plan to replace it as long as it works,Damage,Not sure yet,It broke down,Kept it as a backup phone,
2025/11/04 1:09:56 pop. GMT +1,22,Faculty of Mathematics and Physics,Master’s Study Program PHYSICS,1st year postgraduate,Samsung,S22 Ultra,Over €800,2022.0,3.0,In 2 years,Konec varnostnih posodobitev,Keep it as a backup phone,"Damage - screen, water, etc.",Kept it as a backup phone,
2025/11/04 1:10:41 pop. GMT +1,23,Faculty of Mathematics and Physics,University Study Program PHYSICS,3rd year,Samsung,S25,I don’t know / received it as a gift,2025.0,0.0,In 5 years,I want a newer model,Keep it as a backup phone,Wanted a newer model,Kept it as a backup phone,
2025/11/04 1:16:06 pop. GMT +1,19,Faculty of Mathematics and Physics,University Study Program PHYSICS,1st year,Samsung,A12,Up to €200,2021.0,4.0,I don’t plan to replace it as long as it works,,,"Bil je zelo star, ni imel funkcij, ki sem jih potreboval.","Obdržal, bolj za spomin.",
